county,candidate,votes,district,party,office
Perry,Helen Meyers,0,,Non-Partisan,US Senate
Pickaway,Helen Meyers,3,,Non-Partisan,US Senate
Pike,Helen Meyers,0,,Non-Partisan,US Senate
Portage,Helen Meyers,0,,Non-Partisan,US Senate
Preble,Helen Meyers,0,,Non-Partisan,US Senate
Putnam,Helen Meyers,0,,Non-Partisan,US Senate
Richland,Helen Meyers,1,,Non-Partisan,US Senate
Ross,Helen Meyers,0,,Non-Partisan,US Senate
Sandusky,Helen Meyers,1,,Non-Partisan,US Senate
Scioto,Helen Meyers,0,,Non-Partisan,US Senate
Seneca,Helen Meyers,0,,Non-Partisan,US Senate
Shelby,Helen Meyers,0,,Non-Partisan,US Senate
Stark,Helen Meyers,0,,Non-Partisan,US Senate
Summit,Helen Meyers,0,,Non-Partisan,US Senate
Trumbull,Helen Meyers,1,,Non-Partisan,US Senate
Tuscarawas,Helen Meyers,0,,Non-Partisan,US Senate
Union,Helen Meyers,1,,Non-Partisan,US Senate
Van Wert,Helen Meyers,0,,Non-Partisan,US Senate
Vinton,Helen Meyers,0,,Non-Partisan,US Senate
Warren,Helen Meyers,1,,Non-Partisan,US Senate
Washington,Helen Meyers,5,,Non-Partisan,US Senate
Wayne,Helen Meyers,0,,Non-Partisan,US Senate
Williams,Helen Meyers,0,,Non-Partisan,US Senate
Wood,Helen Meyers,0,,Non-Partisan,US Senate
Wyandot,Helen Meyers,0,,Non-Partisan,US Senate
Adams,George V. Voinovich,8303,,Republican,US Senate
Allen,George V. Voinovich,33463,,Republican,US Senate
Ashland,George V. Voinovich,18207,,Republican,US Senate
Ashtabula,George V. Voinovich,25998,,Republican,US Senate
Athens,George V. Voinovich,14992,,Republican,US Senate
Auglaize,George V. Voinovich,17771,,Republican,US Senate
Belmont,George V. Voinovich,18868,,Republican,US Senate
Brown,George V. Voinovich,13730,,Republican,US Senate
Butler,George V. Voinovich,117117,,Republican,US Senate
Carroll,George V. Voinovich,9309,,Republican,US Senate
Champaign,George V. Voinovich,13480,,Republican,US Senate
Clark,George V. Voinovich,43383,,Republican,US Senate
Clermont,George V. Voinovich,66499,,Republican,US Senate
Clinton,George V. Voinovich,14056,,Republican,US Senate
Columbiana,George V. Voinovich,30306,,Republican,US Senate
Coshocton,George V. Voinovich,11696,,Republican,US Senate
Crawford,George V. Voinovich,15423,,Republican,US Senate
Cuyahoga,George V. Voinovich,334204,,Republican,US Senate
Darke,George V. Voinovich,19906,,Republican,US Senate
Defiance,George V. Voinovich,12778,,Republican,US Senate
Delaware,George V. Voinovich,59921,,Republican,US Senate
Erie,George V. Voinovich,23833,,Republican,US Senate
Fairfield,George V. Voinovich,48980,,Republican,US Senate
Fayette,George V. Voinovich,8724,,Republican,US Senate
Franklin,George V. Voinovich,295601,,Republican,US Senate
Fulton,George V. Voinovich,16342,,Republican,US Senate
Gallia,George V. Voinovich,9439,,Republican,US Senate
Geauga,George V. Voinovich,36165,,Republican,US Senate
Greene,George V. Voinovich,55043,,Republican,US Senate
Guernsey,George V. Voinovich,11330,,Republican,US Senate
Hamilton,George V. Voinovich,255406,,Republican,US Senate
Hancock,George V. Voinovich,27626,,Republican,US Senate
Hardin,George V. Voinovich,9336,,Republican,US Senate
Harrison,George V. Voinovich,5082,,Republican,US Senate
Henry,George V. Voinovich,11628,,Republican,US Senate
Highland,George V. Voinovich,13395,,Republican,US Senate
Hocking,George V. Voinovich,8481,,Republican,US Senate
Holmes,George V. Voinovich,8986,,Republican,US Senate
Huron,George V. Voinovich,18019,,Republican,US Senate
Jackson,George V. Voinovich,9871,,Republican,US Senate
Jefferson,George V. Voinovich,20970,,Republican,US Senate
Knox,George V. Voinovich,18507,,Republican,US Senate
Lake,George V. Voinovich,76682,,Republican,US Senate
Lawrence,George V. Voinovich,17222,,Republican,US Senate
Licking,George V. Voinovich,55952,,Republican,US Senate
Logan,George V. Voinovich,16191,,Republican,US Senate
Lorain,George V. Voinovich,79485,,Republican,US Senate
Lucas,George V. Voinovich,121535,,Republican,US Senate
Madison,George V. Voinovich,12828,,Republican,US Senate
Mahoning,George V. Voinovich,66554,,Republican,US Senate
Marion,George V. Voinovich,19817,,Republican,US Senate
Medina,George V. Voinovich,58239,,Republican,US Senate
Meigs,George V. Voinovich,7110,,Republican,US Senate
Mercer,George V. Voinovich,16334,,Republican,US Senate
Miami,George V. Voinovich,37659,,Republican,US Senate
Monroe,George V. Voinovich,4121,,Republican,US Senate
Montgomery,George V. Voinovich,170942,,Republican,US Senate
Morgan,George V. Voinovich,4472,,Republican,US Senate
Morrow,George V. Voinovich,11795,,Republican,US Senate
Muskingum,George V. Voinovich,26367,,Republican,US Senate
Noble,George V. Voinovich,4289,,Republican,US Senate
Ottawa,George V. Voinovich,15425,,Republican,US Senate
Paulding,George V. Voinovich,6385,,Republican,US Senate
Perry,George V. Voinovich,9657,,Republican,US Senate
Pickaway,George V. Voinovich,15650,,Republican,US Senate
Pike,George V. Voinovich,7516,,Republican,US Senate
Portage,George V. Voinovich,44185,,Republican,US Senate
Preble,George V. Voinovich,15169,,Republican,US Senate
Putnam,George V. Voinovich,14671,,Republican,US Senate
Richland,George V. Voinovich,40663,,Republican,US Senate
Ross,George V. Voinovich,20634,,Republican,US Senate
Sandusky,George V. Voinovich,20407,,Republican,US Senate
Scioto,George V. Voinovich,20998,,Republican,US Senate
Seneca,George V. Voinovich,18913,,Republican,US Senate
Shelby,George V. Voinovich,17060,,Republican,US Senate
Stark,George V. Voinovich,118558,,Republican,US Senate
Summit,George V. Voinovich,153906,,Republican,US Senate
Trumbull,George V. Voinovich,54638,,Republican,US Senate
Tuscarawas,George V. Voinovich,27307,,Republican,US Senate
Union,George V. Voinovich,17505,,Republican,US Senate
Van Wert,George V. Voinovich,10697,,Republican,US Senate
Vinton,George V. Voinovich,3740,,Republican,US Senate
Warren,George V. Voinovich,72083,,Republican,US Senate
Washington,George V. Voinovich,18876,,Republican,US Senate
Wayne,George V. Voinovich,36559,,Republican,US Senate
Williams,George V. Voinovich,13563,,Republican,US Senate
Wood,George V. Voinovich,41821,,Republican,US Senate
Wyandot,George V. Voinovich,8297,,Republican,US Senate
Butler,Steve Chabot,9530,1,Republican,US Representatives
Hamilton,Steve Chabot,163900,1,Republican,US Representatives
Butler,Greg Harris,2792,1,Democratic,US Representatives
Hamilton,Greg Harris,113443,1,Democratic,US Representatives
Butler,Rich Stevenson,0,1,Non-Partisan,US Representatives
Hamilton,Rich Stevenson,198,1,Non-Partisan,US Representatives
Adams,"James Condit, Jr.",0,2,Non-Partisan,US Representatives
Brown,"James Condit, Jr.",0,2,Non-Partisan,US Representatives
Clermont,"James Condit, Jr.",7,2,Non-Partisan,US Representatives
Hamilton,"James Condit, Jr.",52,2,Non-Partisan,US Representatives
Pike,"James Condit, Jr.",0,2,Non-Partisan,US Representatives
Scioto,"James Condit, Jr.",0,2,Non-Partisan,US Representatives
Warren,"James Condit, Jr.",1,2,Non-Partisan,US Representatives
Adams,Rob Portman,8310,2,Republican,US Representatives
Brown,Rob Portman,13796,2,Republican,US Representatives
Clermont,Rob Portman,66158,2,Republican,US Representatives
Hamilton,Rob Portman,89743,2,Republican,US Representatives
Pike,Rob Portman,6047,2,Republican,US Representatives
Scioto,Rob Portman,10099,2,Republican,US Representatives
Warren,Rob Portman,32949,2,Republican,US Representatives
Adams,Charles W. Sanders,3169,2,Democratic,US Representatives
Brown,Charles W. Sanders,5293,2,Democratic,US Representatives
Clermont,Charles W. Sanders,20210,2,Democratic,US Representatives
Hamilton,Charles W. Sanders,38237,2,Democratic,US Representatives
Pike,Charles W. Sanders,5578,2,Democratic,US Representatives
Scioto,Charles W. Sanders,8004,2,Democratic,US Representatives
Warren,Charles W. Sanders,9107,2,Democratic,US Representatives
Clinton,Jane Mitakides,4821,3,Democratic,US Representatives
Highland,Jane Mitakides,5603,3,Democratic,US Representatives
Montgomery,Jane Mitakides,96508,3,Democratic,US Representatives
Warren,Jane Mitakides,12516,3,Democratic,US Representatives
Clinton,Mike Turner,12644,3,Republican,US Representatives
Highland,Mike Turner,11843,3,Republican,US Representatives
Montgomery,Mike Turner,138504,3,Republican,US Representatives
Warren,Mike Turner,34299,3,Republican,US Representatives
Allen,Ben Konop,25418,4,Democratic,US Representatives
Auglaize,Ben Konop,8783,4,Democratic,US Representatives
Champaign,Ben Konop,5730,4,Democratic,US Representatives
Hancock,Ben Konop,12124,4,Democratic,US Representatives
Hardin,Ben Konop,5985,4,Democratic,US Representatives
Logan,Ben Konop,5816,4,Democratic,US Representatives
Marion,Ben Konop,12626,4,Democratic,US Representatives
Morrow,Ben Konop,5520,4,Democratic,US Representatives
Richland,Ben Konop,27750,4,Democratic,US Representatives
Shelby,Ben Konop,6678,4,Democratic,US Representatives
Wyandot,Ben Konop,2108,4,Democratic,US Representatives
Allen,Michael G. Oxley,22997,4,Republican,US Representatives
Auglaize,Michael G. Oxley,13850,4,Republican,US Representatives
Champaign,Michael G. Oxley,11466,4,Republican,US Representatives
Hancock,Michael G. Oxley,22692,4,Republican,US Representatives
Hardin,Michael G. Oxley,7154,4,Republican,US Representatives
Logan,Michael G. Oxley,14457,4,Republican,US Representatives
Marion,Michael G. Oxley,15512,4,Republican,US Representatives
Morrow,Michael G. Oxley,9802,4,Republican,US Representatives
Richland,Michael G. Oxley,31260,4,Republican,US Representatives
Shelby,Michael G. Oxley,15077,4,Republican,US Representatives
Wyandot,Michael G. Oxley,3540,4,Republican,US Representatives
Ashland,Paul E. Gillmor,3181,5,Republican,US Representatives
Crawford,Paul E. Gillmor,13602,5,Republican,US Representatives
Defiance,Paul E. Gillmor,12041,5,Republican,US Representatives
Fulton,Paul E. Gillmor,13688,5,Republican,US Representatives
Henry,Paul E. Gillmor,9811,5,Republican,US Representatives
Huron,Paul E. Gillmor,16288,5,Republican,US Representatives
Lucas,Paul E. Gillmor,5498,5,Republican,US Representatives
Mercer,Paul E. Gillmor,3605,5,Republican,US Representatives
Paulding,Paul E. Gillmor,6444,5,Republican,US Representatives
Putnam,Paul E. Gillmor,13847,5,Republican,US Representatives
Sandusky,Paul E. Gillmor,18713,5,Republican,US Representatives
Seneca,Paul E. Gillmor,17888,5,Republican,US Representatives
Van Wert,Paul E. Gillmor,10540,5,Republican,US Representatives
Williams,Paul E. Gillmor,12791,5,Republican,US Representatives
Wood,Paul E. Gillmor,35107,5,Republican,US Representatives
Wyandot,Paul E. Gillmor,3605,5,Republican,US Representatives
Ashland,Robin Weirauch,1989,5,Democratic,US Representatives
Crawford,Robin Weirauch,6855,5,Democratic,US Representatives
Defiance,Robin Weirauch,5715,5,Democratic,US Representatives
Fulton,Robin Weirauch,6842,5,Democratic,US Representatives
Henry,Robin Weirauch,4951,5,Democratic,US Representatives
Huron,Robin Weirauch,7576,5,Democratic,US Representatives
Lucas,Robin Weirauch,3278,5,Democratic,US Representatives
Mercer,Robin Weirauch,1194,5,Democratic,US Representatives
Paulding,Robin Weirauch,3025,5,Democratic,US Representatives
Putnam,Robin Weirauch,4236,5,Democratic,US Representatives
Sandusky,Robin Weirauch,9566,5,Democratic,US Representatives
Seneca,Robin Weirauch,8062,5,Democratic,US Representatives
Van Wert,Robin Weirauch,3603,5,Democratic,US Representatives
Williams,Robin Weirauch,4906,5,Democratic,US Representatives
Wood,Robin Weirauch,23545,5,Democratic,US Representatives
Wyandot,Robin Weirauch,1313,5,Democratic,US Representatives
Athens,John Stephen Luchansky,4,6,Non-Partisan,US Representatives
Belmont,John Stephen Luchansky,3,6,Non-Partisan,US Representatives
Columbiana,John Stephen Luchansky,12,6,Non-Partisan,US Representatives
Gallia,John Stephen Luchansky,0,6,Non-Partisan,US Representatives
Jefferson,John Stephen Luchansky,7,6,Non-Partisan,US Representatives
Lawrence,John Stephen Luchansky,0,6,Non-Partisan,US Representatives
Mahoning,John Stephen Luchansky,30,6,Non-Partisan,US Representatives
Meigs,John Stephen Luchansky,1,6,Non-Partisan,US Representatives
Monroe,John Stephen Luchansky,0,6,Non-Partisan,US Representatives
Noble,John Stephen Luchansky,2,6,Non-Partisan,US Representatives
Scioto,John Stephen Luchansky,1,6,Non-Partisan,US Representatives
Washington,John Stephen Luchansky,85,6,Non-Partisan,US Representatives
Athens,Ted Strickland,17008,6,Democratic,US Representatives
Belmont,Ted Strickland,20594,6,Democratic,US Representatives
Columbiana,Ted Strickland,36011,6,Democratic,US Representatives
Gallia,Ted Strickland,9451,6,Democratic,US Representatives
Jefferson,Ted Strickland,27599,6,Democratic,US Representatives
Lawrence,Ted Strickland,20044,6,Democratic,US Representatives
Mahoning,Ted Strickland,42015,6,Democratic,US Representatives
Meigs,Ted Strickland,7484,6,Democratic,US Representatives
Monroe,Ted Strickland,5994,6,Democratic,US Representatives
Noble,Ted Strickland,4181,6,Democratic,US Representatives
Scioto,Ted Strickland,11966,6,Democratic,US Representatives
Washington,Ted Strickland,21497,6,Democratic,US Representatives
Clark,Kara Anastasio,24229,7,Democratic,US Representatives
Fairfield,Kara Anastasio,18666,7,Democratic,US Representatives
Fayette,Kara Anastasio,3140,7,Democratic,US Representatives
Franklin,Kara Anastasio,17043,7,Democratic,US Representatives
Greene,Kara Anastasio,24097,7,Democratic,US Representatives
Perry,Kara Anastasio,5775,7,Democratic,US Representatives
Pickaway,Kara Anastasio,6392,7,Democratic,US Representatives
Ross,Kara Anastasio,1275,7,Democratic,US Representatives
Clark,Dave Hobson,42504,7,Republican,US Representatives
Fairfield,Dave Hobson,43359,7,Republican,US Representatives
Fayette,Dave Hobson,7840,7,Republican,US Representatives
Franklin,Dave Hobson,17190,7,Republican,US Representatives
Greene,Dave Hobson,51171,7,Republican,US Representatives
Perry,Dave Hobson,7731,7,Republican,US Representatives
Pickaway,Dave Hobson,14151,7,Republican,US Representatives
Ross,Dave Hobson,2588,7,Republican,US Representatives
Butler,John A. Boehner,100670,8,Republican,US Representatives
Darke,John A. Boehner,18809,8,Republican,US Representatives
Mercer,John A. Boehner,12261,8,Republican,US Representatives
Miami,John A. Boehner,35168,8,Republican,US Representatives
Montgomery,John A. Boehner,20561,8,Republican,US Representatives
Preble,John A. Boehner,14206,8,Republican,US Representatives
Butler,Jeff Hardenbrook,42649,8,Democratic,US Representatives
Darke,Jeff Hardenbrook,6516,8,Democratic,US Representatives
Mercer,Jeff Hardenbrook,3378,8,Democratic,US Representatives
Miami,Jeff Hardenbrook,14803,8,Democratic,US Representatives
Montgomery,Jeff Hardenbrook,17410,8,Democratic,US Representatives
Preble,Jeff Hardenbrook,5818,8,Democratic,US Representatives
Erie,Larry A. Kaczala,13400,9,Republican,US Representatives
Lorain,Larry A. Kaczala,12461,9,Republican,US Representatives
Lucas,Larry A. Kaczala,60965,9,Republican,US Representatives
Ottawa,Larry A. Kaczala,9157,9,Republican,US Representatives
Erie,Marcy Kaptur,24057,9,Democratic,US Representatives
Lorain,Marcy Kaptur,21315,9,Democratic,US Representatives
Lucas,Marcy Kaptur,146093,9,Democratic,US Representatives
Ottawa,Marcy Kaptur,13684,9,Democratic,US Representatives
Cuyahoga,Barbara Anne Ferris,18343,10,Non-Partisan,US Representatives
Cuyahoga,Edward Fitzpatrick Herman,96463,10,Republican,US Representatives
Cuyahoga,Dennis J. Kucinich,172406,10,Democratic,US Representatives
Cuyahoga,Stephanie Tubbs Jones,222371,11,Democratic,US Representatives
Delaware,Edward S. Brown,17941,12,Democratic,US Representatives
Franklin,Edward S. Brown,90090,12,Democratic,US Representatives
Licking,Edward S. Brown,14078,12,Democratic,US Representatives
Delaware,Chuck Spingola,1,12,Non-Partisan,US Representatives
Franklin,Chuck Spingola,24,12,Non-Partisan,US Representatives
Licking,Chuck Spingola,0,12,Non-Partisan,US Representatives
Delaware,Pat Tiberi,58005,12,Republican,US Representatives
Franklin,Pat Tiberi,106159,12,Republican,US Representatives
Licking,Pat Tiberi,34748,12,Republican,US Representatives
Cuyahoga,Sherrod Brown,26019,13,Democratic,US Representatives
Lorain,Sherrod Brown,68891,13,Democratic,US Representatives
Medina,Sherrod Brown,15606,13,Democratic,US Representatives
Summit,Sherrod Brown,90488,13,Democratic,US Representatives
Cuyahoga,Robert Lucas,19976,13,Republican,US Representatives
Lorain,Robert Lucas,28098,13,Republican,US Representatives
Medina,Robert Lucas,8691,13,Republican,US Representatives
Summit,Robert Lucas,40325,13,Republican,US Representatives
Ashtabula,Capri S. Cafaro,19995,14,Democratic,US Representatives
Cuyahoga,Capri S. Cafaro,8765,14,Democratic,US Representatives
Geauga,Capri S. Cafaro,14705,14,Democratic,US Representatives
Lake,Capri S. Cafaro,42000,14,Democratic,US Representatives
Portage,Capri S. Cafaro,5709,14,Democratic,US Representatives
Summit,Capri S. Cafaro,26719,14,Democratic,US Representatives
Trumbull,Capri S. Cafaro,1821,14,Democratic,US Representatives
Ashtabula,Steven C. LaTourette,24114,14,Republican,US Representatives
Cuyahoga,Steven C. LaTourette,16942,14,Republican,US Representatives
Geauga,Steven C. LaTourette,33483,14,Republican,US Representatives
Lake,Steven C. LaTourette,72378,14,Republican,US Representatives
Portage,Steven C. LaTourette,9627,14,Republican,US Representatives
Summit,Steven C. LaTourette,42311,14,Republican,US Representatives
Trumbull,Steven C. LaTourette,2797,14,Republican,US Representatives
Franklin,Mark P. Brown,101041,15,Democratic,US Representatives
Madison,Mark P. Brown,4470,15,Democratic,US Representatives
Union,Mark P. Brown,5404,15,Democratic,US Representatives
Franklin,Deborah Pryce,139174,15,Republican,US Representatives
Madison,Deborah Pryce,11630,15,Republican,US Representatives
Union,Deborah Pryce,15716,15,Republican,US Representatives
Ashland,Ralph Regula,13286,16,Republican,US Representatives
Medina,Ralph Regula,34371,16,Republican,US Representatives
Stark,Ralph Regula,119375,16,Republican,US Representatives
Wayne,Ralph Regula,35512,16,Republican,US Representatives
Ashland,Jeff Seemann,5459,16,Democratic,US Representatives
Medina,Jeff Seemann,17556,16,Democratic,US Representatives
Stark,Jeff Seemann,65020,16,Democratic,US Representatives
Wayne,Jeff Seemann,13782,16,Democratic,US Representatives
Mahoning,Frank V. Cusimano,10612,17,Republican,US Representatives
Portage,Frank V. Cusimano,15763,17,Republican,US Representatives
Summit,Frank V. Cusimano,15889,17,Republican,US Representatives
Trumbull,Frank V. Cusimano,20607,17,Republican,US Representatives
Mahoning,Tim Ryan,58657,17,Democratic,US Representatives
Portage,Tim Ryan,37279,17,Democratic,US Representatives
Summit,Tim Ryan,37685,17,Democratic,US Representatives
Trumbull,Tim Ryan,79179,17,Democratic,US Representatives
Athens,Bob Ney,2686,18,Republican,US Representatives
Belmont,Bob Ney,5569,18,Republican,US Representatives
Carroll,Bob Ney,8836,18,Republican,US Representatives
Coshocton,Bob Ney,11864,18,Republican,US Representatives
Guernsey,Bob Ney,12133,18,Republican,US Representatives
Harrison,Bob Ney,5695,18,Republican,US Representatives
Hocking,Bob Ney,6593,18,Republican,US Representatives
Holmes,Bob Ney,8185,18,Republican,US Representatives
Jackson,Bob Ney,8440,18,Republican,US Representatives
Knox,Bob Ney,15844,18,Republican,US Representatives
Licking,Bob Ney,16236,18,Republican,US Representatives
Morgan,Bob Ney,4395,18,Republican,US Representatives
Muskingum,Bob Ney,25532,18,Republican,US Representatives
Ross,Bob Ney,15024,18,Republican,US Representatives
Tuscarawas,Bob Ney,27478,18,Republican,US Representatives
Vinton,Bob Ney,3090,18,Republican,US Representatives
Athens,Brian R. Thomas,4051,18,Democratic,US Representatives
Belmont,Brian R. Thomas,1855,18,Democratic,US Representatives
Carroll,Brian R. Thomas,4672,18,Democratic,US Representatives
Coshocton,Brian R. Thomas,5053,18,Democratic,US Representatives
Guernsey,Brian R. Thomas,5248,18,Democratic,US Representatives
Harrison,Brian R. Thomas,2271,18,Democratic,US Representatives
Hocking,Brian R. Thomas,5310,18,Democratic,US Representatives
Holmes,Brian R. Thomas,2143,18,Democratic,US Representatives
Jackson,Brian R. Thomas,4452,18,Democratic,US Representatives
Knox,Brian R. Thomas,8257,18,Democratic,US Representatives
Licking,Brian R. Thomas,8794,18,Democratic,US Representatives
Morgan,Brian R. Thomas,1956,18,Democratic,US Representatives
Muskingum,Brian R. Thomas,11229,18,Democratic,US Representatives
Ross,Brian R. Thomas,9969,18,Democratic,US Representatives
Tuscarawas,Brian R. Thomas,13342,18,Democratic,US Representatives
Vinton,Brian R. Thomas,2218,18,Democratic,US Representatives
Columbiana,Chuck Blasdel,23607,1,Republican,State House
Columbiana,"Frank E. Rayl, Jr.",23125,1,Democratic,State House
Delaware,Cathy Burner,22287,2,Democratic,State House
Delaware,Jon Peterson,49274,2,Republican,State House
Wayne,Joan E. Bradley,16497,3,Democratic,State House
Wayne,Jim Carmichael,31386,3,Republican,State House
Allen,John R. Willamowski,38236,4,Republican,State House
Fairfield,Tim Schaffer,49542,5,Republican,State House
Wood,Robert E. Latta,36625,6,Republican,State House
Wood,Scott R. McCarty,21971,6,Democratic,State House
Cuyahoga,Beverly Valencic,12306,7,Republican,State House
Cuyahoga,Kenny Yuko,34504,7,Democratic,State House
Cuyahoga,Lance T. Mason,40102,8,Democratic,State House
Cuyahoga,Claudette J. Woodard,37841,9,Democratic,State House
Cuyahoga,Shirley A. Smith,27577,10,Democratic,State House
Cuyahoga,Annie L. Key,26882,11,Democratic,State House
Cuyahoga,Anthony Cefaratti,6729,12,Republican,State House
Cuyahoga,Michael DeBose,41166,12,Democratic,State House
Cuyahoga,Michael J. Skindell,29322,13,Democratic,State House
Cuyahoga,Dale Miller,30360,14,Democratic,State House
Cuyahoga,Bill Ritter,9723,14,Non-Partisan,State House
Cuyahoga,Timothy J. DeGeeter,33128,15,Democratic,State House
Cuyahoga,Michelle Stys,15961,15,Non-Partisan,State House
Cuyahoga,Chris Glassburn,1817,16,Non-Partisan,State House
Cuyahoga,Kevin Kennedy,23042,16,Democratic,State House
Cuyahoga,Sally Conway Kilbane,35370,16,Republican,State House
Cuyahoga,David Pomerantz,29569,17,Democratic,State House
Cuyahoga,James Peter Trakas,33606,17,Republican,State House
Cuyahoga,Bobby Bland,17587,18,Democratic,State House
Cuyahoga,Thomas F. Patton,35059,18,Republican,State House
Franklin,Larry L. Flowers,35202,19,Republican,State House
Franklin,"Richard W. Otten, Jr.",3460,19,Non-Partisan,State House
Franklin,Antoine Wright,20075,19,Democratic,State House
Franklin,Jim McGregor,30649,20,Republican,State House
Franklin,Michael J. Murdock,24549,20,Democratic,State House
Franklin,Abramo Ottolenghi,23917,21,Democratic,State House
Franklin,Linda Reidelbach,26547,21,Republican,State House
Franklin,Jim Hughes,35791,22,Republican,State House
Franklin,Brian McCann,23072,22,Democratic,State House
Franklin,Larry Wolpert,42322,23,Republican,State House
Franklin,Pat Byrne,21817,24,Non-Partisan,State House
Franklin,Geoffrey C. Smith,28159,24,Republican,State House
Franklin,Andy Bowers,19235,25,Republican,State House
Franklin,Daniel Stewart,23452,25,Democratic,State House
Franklin,Mike Mitchell,37584,26,Democratic,State House
Franklin,Joyce Beatty,36022,27,Democratic,State House
Hamilton,Wayne Coates,26235,28,Democratic,State House
Hamilton,Jim Raussen,29777,28,Republican,State House
Hamilton,"Louis W. Blessing, Jr.",31655,29,Republican,State House
Hamilton,Joseph R. Wolterman,24730,29,Democratic,State House
Hamilton,William J. Seitz,43306,30,Republican,State House
Hamilton,Ann Thompson,16097,30,Democratic,State House
Hamilton,Steve Driehaus,26330,31,Democratic,State House
Hamilton,Terry Weber,11634,31,Republican,State House
Hamilton,Catherine L. Barrett,32480,32,Democratic,State House
Hamilton,Tom Jones,12728,33,Republican,State House
Hamilton,Tyrone K. Yates,35903,33,Democratic,State House
Hamilton,"Tom Brinkman, Jr.",35229,34,Republican,State House
Hamilton,Glen Miller,23451,34,Democratic,State House
Hamilton,Brian Miller,9323,35,Democratic,State House
Warren,Brian Miller,7406,35,Democratic,State House
Hamilton,Michelle G. Schneider,23429,35,Republican,State House
Warren,Michelle G. Schneider,20997,35,Republican,State House
Montgomery,Arlene J. Setzer,35599,36,Republican,State House
Montgomery,Beverly H. Smith,21783,36,Democratic,State House
Montgomery,Jon A. Husted,36490,37,Republican,State House
Montgomery,John G. Shady,19640,37,Democratic,State House
Montgomery,John R. Doll,22894,38,Democratic,State House
Montgomery,John J. White,35269,38,Republican,State House
Montgomery,Dixie J. Allen,30347,39,Democratic,State House
Montgomery,Jason M. Hallmark,1907,39,Non-Partisan,State House
Montgomery,Logan Martinez,1666,39,Non-Partisan,State House
Montgomery,Armiya Muhammed,5247,39,Republican,State House
Montgomery,Glenn Jones,14164,40,Republican,State House
Montgomery,Fred Strahorn,33325,40,Democratic,State House
Summit,Marilyn Slaby,32238,41,Republican,State House
Summit,Brian G. Williams,32517,41,Democratic,State House
Summit,Diana Colavecchio,25372,42,Democratic,State House
Summit,John Widowfield,33484,42,Republican,State House
Portage,Jane Tabor-Grimm,7273,43,Democratic,State House
Summit,Jane Tabor-Grimm,18126,43,Democratic,State House
Portage,Mary Taylor,9775,43,Republican,State House
Summit,Mary Taylor,24703,43,Republican,State House
Summit,Barbara Sykes,37590,44,Democratic,State House
Summit,Don Longshore,11675,45,Republican,State House
Summit,Robert J. Otterman,33432,45,Democratic,State House
Lucas,Nancy Patrick Greeley,23623,46,Democratic,State House
Lucas,Mark Wagoner,38584,46,Republican,State House
Lucas,Michael R. Goulding,12630,47,Republican,State House
Lucas,Peter Ujvagi,31251,47,Democratic,State House
Lucas,Edna Brown,39076,48,Democratic,State House
Lucas,Christopher Myers,14232,49,Republican,State House
Lucas,Jeanine Perry,35231,49,Democratic,State House
Stark,John P. Hagan,32233,50,Republican,State House
Stark,Martin Olson,23231,50,Democratic,State House
Stark,Scott Oelslager,54363,51,Republican,State House
Stark,"William J. Healy,",30992,52,Democratic,State House
Stark,Mandwel D. Patterson,12635,52,Republican,State House
Butler,Scott Siebel,17214,53,Democratic,State House
Butler,Shawn N. Webster,33159,53,Republican,State House
Butler,Courtney E. Combs,36138,54,Republican,State House
Butler,Bill Coley,37711,55,Republican,State House
Butler,Tyrone Sims,16103,55,Democratic,State House
Lorain,Joseph F. Koziura,35551,56,Democratic,State House
Lorain,Daniel Jack Williamson,12596,56,Republican,State House
Lorain,Deanna L. Hill,26307,57,Democratic,State House
Lorain,Earl J. Martin,29032,57,Republican,State House
Lorain,Kenneth Prechtel,5866,57,Non-Partisan,State House
Huron,Matthew Barrett,9970,58,Democratic,State House
Lorain,Matthew Barrett,12041,58,Democratic,State House
Seneca,Matthew Barrett,1521,58,Democratic,State House
Huron,Kathleen L. Walcher,14517,58,Republican,State House
Lorain,Kathleen L. Walcher,10410,58,Republican,State House
Seneca,Kathleen L. Walcher,2688,58,Republican,State House
Mahoning,"Kenneth A. Carano, Sr.",38637,59,Democratic,State House
Mahoning,Kathy Miller,23894,59,Republican,State House
Mahoning,Nicolas Keller,8233,60,Republican,State House
Mahoning,Sylvester Patton,37644,60,Democratic,State House
Carroll,John A. Boccieri,8387,61,Democratic,State House
Mahoning,John A. Boccieri,10028,61,Democratic,State House
Stark,John A. Boccieri,10323,61,Democratic,State House
Tuscarawas,John A. Boccieri,4874,61,Democratic,State House
Carroll,Randy Pope,5031,61,Republican,State House
Mahoning,Randy Pope,5058,61,Republican,State House
Stark,Randy Pope,5678,61,Republican,State House
Tuscarawas,Randy Pope,1894,61,Republican,State House
Lake,Lorraine M. Fende,28904,62,Democratic,State House
Lake,Christopher A. Galloway,25266,62,Republican,State House
Lake,Timothy J. Cassell,26194,63,Democratic,State House
Lake,B.J. Kresnye,25724,63,Republican,State House
Trumbull,Randy Law,26882,64,Republican,State House
Trumbull,Daniel J. Sferra,22879,64,Democratic,State House
Trumbull,Sandra Stabile Harwood,35835,65,Democratic,State House
Trumbull,Don Johnson,14899,65,Republican,State House
Clermont,Joseph Uecker,47254,66,Republican,State House
