county,office,district,party,candidate,votes,region,media_market
Darke,State House,84,R,Susan Manchester,13758,West,Dayton
Darke,State House,84,D,Joseph A. Monbeck,2867,West,Dayton
Defiance,U.S. House,5,R,Bob Latta,14024,Northwest,Toledo
Defiance,U.S. House,5,D,Nick Rubando,5152,Northwest,Toledo
Defiance,State House,82,R,Craig S. Riedel,15248,Northwest,Toledo
Defiance,State House,82,,Elecia Wobler,584,Northwest,Toledo
Delaware,U.S. House,12,R,Troy Balderson,70080,Central,Columbus
Delaware,U.S. House,12,D,Alaina Shearer,50212,Central,Columbus
Delaware,U.S. House,12,I,John S. Stewart,3424,Central,Columbus
Delaware,State House,67,R,Kris Jordan,44960,Central,Columbus
Delaware,State House,67,D,Rachael Morocco,35866,Central,Columbus
Delaware,State House,68,R,Rick Carfagna,26084,Central,Columbus
Delaware,State House,68,D,Steven F. Mount,15187,Central,Columbus
Erie,U.S. House,4,D,Shannon M. Freshour,2091,Northeast,Cleveland
Erie,U.S. House,4,R,Jim Jordan,4374,Northeast,Cleveland
Erie,U.S. House,4,I,Steve Perkins,202,Northeast,Cleveland
Erie,U.S. House,9,D,Marcy Kaptur,17253,Northeast,Cleveland
Erie,U.S. House,9,,McKenzie Levindofske,0,Northeast,Cleveland
Erie,U.S. House,9,R,Rob Weber,15581,Northeast,Cleveland
Erie,State Senate,2,R,Theresa Gavarone,22519,Northeast,Cleveland
Erie,State Senate,2,D,Joel O'Dorisio,15982,Northeast,Cleveland
Erie,State House,89,D,Alexis Miller,17520,Northeast,Cleveland
Erie,State House,89,R,D.J. Swearingen,21476,Northeast,Cleveland
Fairfield,U.S. House,15,,Shane Hoffman,7,Central,Columbus
Fairfield,U.S. House,15,D,Joel Newby,25825,Central,Columbus
Fairfield,U.S. House,15,R,Steve Stivers,54998,Central,Columbus
Fairfield,State Senate,20,D,Christian N. Johnson,27164,Central,Columbus
Fairfield,State Senate,20,R,Tim Schaffer,53699,Central,Columbus
Fairfield,State House,77,R,Jeff LaRe,38059,Central,Columbus
Fairfield,State House,77,D,Melissa Wilde,25268,Central,Columbus
Fairfield,State House,78,D,Charlotte Owens,4254,Central,Columbus
Fairfield,State House,78,R,Brian S. Stewart,12593,Central,Columbus
Fayette,U.S. House,10,D,Desiree Tims,2292,Central,Columbus
Fayette,U.S. House,10,R,Mike Turner,7610,Central,Columbus
Fayette,U.S. House,15,,Shane Hoffman,0,Central,Columbus
Fayette,U.S. House,15,D,Joel Newby,309,Central,Columbus
Fayette,U.S. House,15,R,Steve Stivers,1949,Central,Columbus
Fayette,State House,92,R,Mark Johnson,9059,Central,Columbus
Fayette,State House,92,D,Beth Workman,3034,Central,Columbus
Franklin,U.S. House,3,D,Joyce Beatty,227420,Central,Columbus
Franklin,U.S. House,3,,Angela Davis,11,Central,Columbus
Franklin,U.S. House,3,,Nicholas D. Moss,92,Central,Columbus
Franklin,U.S. House,3,R,Mark F. Richardson,93569,Central,Columbus
Franklin,U.S. House,12,R,Troy Balderson,54750,Central,Columbus
Franklin,U.S. House,12,D,Alaina Shearer,80740,Central,Columbus
Franklin,U.S. House,12,I,John S. Stewart,3905,Central,Columbus
Franklin,U.S. House,15,,Shane Hoffman,28,Central,Columbus
Franklin,U.S. House,15,D,Joel Newby,72694,Central,Columbus
Franklin,U.S. House,15,R,Steve Stivers,80384,Central,Columbus
Franklin,State Senate,16,R,Stephanie L. Kunze,106053,Central,Columbus
Franklin,State Senate,16,D,Crystal Lett,105937,Central,Columbus
Franklin,State House,17,R,Tim D. Haske,16588,Central,Columbus
