county,candidate,votes,party,office,district
Stark,Kirk Susany,2336,Republican,State Representative,61
Tuscarawas,Kirk Susany,629,Republican,State Representative,61
Lake,Mike Gutierrez,6664,Republican,State Representative,62
Lake,Carol-Ann Schindel,7814,Republican,State Representative,63
Trumbull,Thomas Montgomery,4252,Republican,State Representative,64
Trumbull,Lyle A. Waddell,3639,Republican,State Representative,65
Clermont,Joe Uecker,14765,Republican,State Representative,66
Warren,Shannon Jones,13768,Republican,State Representative,67
Portage,W. Roak Zeller,4764,Republican,State Representative,68
Medina,William G. Batchelder,10830,Republican,State Representative,69
Greene,Frank Cervone,1774,Republican,State Representative,70
Greene,Brian E. Lampton,3008,Republican,State Representative,70
Greene,Jarrod B. Martin,4259,Republican,State Representative,70
Greene,Bill Miller,2460,Republican,State Representative,70
Greene,Jay A. Tieber,2977,Republican,State Representative,70
Licking,Jay Hottinger,13724,Republican,State Representative,71
Clark,Ross W. McGregor,7932,Republican,State Representative,72
Richland,W. James Balcolm,6575,Republican,State Representative,73
Defiance,Bruce W. Goodwin,3734,Republican,State Representative,74
Fulton,Bruce W. Goodwin,4013,Republican,State Representative,74
Williams,Bruce W. Goodwin,3201,Republican,State Representative,74
Defiance,Lynn R. Wachtmann,157,Republican,State Representative,75
Henry,Lynn R. Wachtmann,2620,Republican,State Representative,75
Paulding,Lynn R. Wachtmann,1904,Republican,State Representative,75
Putnam,Lynn R. Wachtmann,4720,Republican,State Representative,75
Van Wert,Lynn R. Wachtmann,3753,Republican,State Representative,75
Auglaize,Clifford K. Hite,1465,Republican,State Representative,76
Hancock,Clifford K. Hite,9369,Republican,State Representative,76
Hardin,Clifford K. Hite,3188,Republican,State Representative,76
Darke,James J. Zehringer,3420,Republican,State Representative,77
Mercer,James J. Zehringer,4016,Republican,State Representative,77
Preble,James J. Zehringer,4673,Republican,State Representative,77
Auglaize,John Adams,2706,Republican,State Representative,78
Champaign,John Adams,5027,Republican,State Representative,78
Shelby,John Adams,4452,Republican,State Representative,78
Darke,Richard Adams,856,Republican,State Representative,79
Miami,Richard Adams,10010,Republican,State Representative,79
Darke,Joe LeMaster,622,Republican,State Representative,79
Miami,Joe LeMaster,3373,Republican,State Representative,79
Erie,Ed Enderle,5131,Republican,State Representative,80
Ottawa,Ed Enderle,2183,Republican,State Representative,80
Ottawa,Gene Damschroder,210,Republican,State Representative,81
Sandusky,Gene Damschroder,1984,Republican,State Representative,81
Seneca,Gene Damschroder,1217,Republican,State Representative,81
Ottawa,Jeff Wagner,503,Republican,State Representative,81
Sandusky,Jeff Wagner,5560,Republican,State Representative,81
Seneca,Jeff Wagner,5478,Republican,State Representative,81
Crawford,Lois Fisher,1718,Republican,State Representative,82
Marion,Lois Fisher,2164,Republican,State Representative,82
Wyandot,Lois Fisher,398,Republican,State Representative,82
Crawford,Jeffrey A. McClain,2535,Republican,State Representative,82
Marion,Jeffrey A. McClain,1518,Republican,State Representative,82
Wyandot,Jeffrey A. McClain,2563,Republican,State Representative,82
Logan,Dave Burke,1684,Republican,State Representative,83
Marion,Dave Burke,996,Republican,State Representative,83
Union,Dave Burke,5631,Republican,State Representative,83
Logan,Jack Reser,4972,Republican,State Representative,83
Marion,Jack Reser,1167,Republican,State Representative,83
Union,Jack Reser,1578,Republican,State Representative,83
Logan,Carson Wasserbeck,459,Republican,State Representative,83
Marion,Carson Wasserbeck,692,Republican,State Representative,83
Union,Carson Wasserbeck,587,Republican,State Representative,83
Clark,Robert D. Hackett,2371,Republican,State Representative,84
Greene,Robert D. Hackett,2157,Republican,State Representative,84
Madison,Robert D. Hackett,3421,Republican,State Representative,84
Clark,Craig W. Saunders,2457,Republican,State Representative,84
Greene,Craig W. Saunders,3154,Republican,State Representative,84
Madison,Craig W. Saunders,1343,Republican,State Representative,84
Fayette,John M. Schlichter,3180,Republican,State Representative,85
Pickaway,John M. Schlichter,1830,Republican,State Representative,85
Ross,John M. Schlichter,4531,Republican,State Representative,85
Clinton,David T. Daniels,4805,Republican,State Representative,86
Highland,David T. Daniels,4295,Republican,State Representative,86
Pike,David T. Daniels,1417,Republican,State Representative,86
Gallia,Clyde Evans,4268,Republican,State Representative,87
Jackson,Clyde Evans,3527,Republican,State Representative,87
Lawrence,Clyde Evans,2990,Republican,State Representative,87
Ross,Clyde Evans,847,Republican,State Representative,87
Vinton,Clyde Evans,1318,Republican,State Representative,87
Gallia,Daryl L. Petrie,5,Republican,State Representative,87
Jackson,Daryl L. Petrie,7,Republican,State Representative,87
Lawrence,Daryl L. Petrie,0,Republican,State Representative,87
Ross,Daryl L. Petrie,0,Republican,State Representative,87
Vinton,Daryl L. Petrie,10,Republican,State Representative,87
Adams,Danny R. Bubp,1631,Republican,State Representative,88
Brown,Danny R. Bubp,4146,Republican,State Representative,88
Clermont,Danny R. Bubp,5905,Republican,State Representative,88
Ashland,Margaret Ann Ruhl,650,Republican,State Representative,90
Knox,Margaret Ann Ruhl,5248,Republican,State Representative,90
Morrow,Margaret Ann Ruhl,1755,Republican,State Representative,90
Richland,Margaret Ann Ruhl,817,Republican,State Representative,90
Ashland,Tom Whiston,855,Republican,State Representative,90
Knox,Tom Whiston,2200,Republican,State Representative,90
Morrow,Tom Whiston,2938,Republican,State Representative,90
Richland,Tom Whiston,1308,Republican,State Representative,90
Hocking,Bill Hayes,1167,Republican,State Representative,91
Licking,Bill Hayes,3611,Republican,State Representative,91
Perry,Bill Hayes,2156,Republican,State Representative,91
Pickaway,Bill Hayes,795,Republican,State Representative,91
Hocking,Chuck Wellman,965,Republican,State Representative,91
Licking,Chuck Wellman,1284,Republican,State Representative,91
Perry,Chuck Wellman,843,Republican,State Representative,91
Pickaway,Chuck Wellman,1865,Republican,State Representative,91
Athens,Jill Thompson,2950,Republican,State Representative,92
Meigs,Jill Thompson,2689,Republican,State Representative,92
Morgan,Jill Thompson,1646,Republican,State Representative,92
Washington,Jill Thompson,1972,Republican,State Representative,92
Guernsey,Chelsi L. Smith,2781,Republican,State Representative,93
Monroe,Chelsi L. Smith,607,Republican,State Representative,93
Muskingum,Chelsi L. Smith,539,Republican,State Representative,93
Noble,Chelsi L. Smith,1325,Republican,State Representative,93
Washington,Chelsi L. Smith,3391,Republican,State Representative,93
Coshocton,Troy Balderson,2664,Republican,State Representative,94
Muskingum,Troy Balderson,8288,Republican,State Representative,94
Coshocton,Patrick Johnston,1581,Republican,State Representative,94
Muskingum,Patrick Johnston,3662,Republican,State Representative,94
Belmont,Daniel Z. Jenkins,1097,Republican,State Representative,95
Jefferson,Daniel Z. Jenkins,3241,Republican,State Representative,95
Belmont,Robert Andy Ballard,1732,Republican,State Representative,96
Harrison,Robert Andy Ballard,988,Republican,State Representative,96
Tuscarawas,Robert Andy Ballard,4137,Republican,State Representative,96
Ashland,Dave Hall,3818,Republican,State Representative,97
Holmes,Dave Hall,3060,Republican,State Representative,97
Medina,Dave Hall,3466,Republican,State Representative,97
Cuyahoga,Matthew J. Dolan,1571,Republican,State Representative,98
Geauga,Matthew J. Dolan,8190,Republican,State Representative,98
Ashtabula,Tom Nizen,5991,Republican,State Representative,99
Trumbull,Tom Nizen,374,Republican,State Representative,99
Butler,Steve Driehaus,1891,Democratic,US Representative,1
Hamilton,Steve Driehaus,58563,Democratic,US Representative,1
Adams,Stephen L. Black,1158,Democratic,US Representative,2
Brown,Stephen L. Black,2585,Democratic,US Representative,2
Clermont,Stephen L. Black,7600,Democratic,US Representative,2
Hamilton,Stephen L. Black,10733,Democratic,US Representative,2
Pike,Stephen L. Black,1747,Democratic,US Representative,2
Scioto,Stephen L. Black,2583,Democratic,US Representative,2
Warren,Stephen L. Black,3210,Democratic,US Representative,2
Adams,William R. Smith,542,Democratic,US Representative,2
Brown,William R. Smith,1095,Democratic,US Representative,2
Clermont,William R. Smith,3162,Democratic,US Representative,2
Hamilton,William R. Smith,3667,Democratic,US Representative,2
Pike,William R. Smith,996,Democratic,US Representative,2
Scioto,William R. Smith,1429,Democratic,US Representative,2
Warren,William R. Smith,1564,Democratic,US Representative,2
Adams,Victoria Wulsin,1758,Democratic,US Representative,2
Brown,Victoria Wulsin,3399,Democratic,US Representative,2
Clermont,Victoria Wulsin,13359,Democratic,US Representative,2
Hamilton,Victoria Wulsin,26971,Democratic,US Representative,2
Pike,Victoria Wulsin,2065,Democratic,US Representative,2
Scioto,Victoria Wulsin,3767,Democratic,US Representative,2
Warren,Victoria Wulsin,6354,Democratic,US Representative,2
Clinton,David Esrati,387,Democratic,US Representative,3
Highland,David Esrati,385,Democratic,US Representative,3
Montgomery,David Esrati,9091,Democratic,US Representative,3
Warren,David Esrati,1301,Democratic,US Representative,3
Clinton,Jane Mitakides,2061,Democratic,US Representative,3
Highland,Jane Mitakides,1560,Democratic,US Representative,3
Montgomery,Jane Mitakides,42204,Democratic,US Representative,3
Warren,Jane Mitakides,5591,Democratic,US Representative,3
Clinton,Charles W. Sanders,1823,Democratic,US Representative,3
Highland,Charles W. Sanders,2440,Democratic,US Representative,3
Montgomery,Charles W. Sanders,24714,Democratic,US Representative,3
Warren,Charles W. Sanders,4291,Democratic,US Representative,3
Allen,Mike Carroll,10041,Democratic,US Representative,4
Auglaize,Mike Carroll,3722,Democratic,US Representative,4
Champaign,Mike Carroll,4136,Democratic,US Representative,4
Hancock,Mike Carroll,5547,Democratic,US Representative,4
Hardin,Mike Carroll,2620,Democratic,US Representative,4
Logan,Mike Carroll,3847,Democratic,US Representative,4
Marion,Mike Carroll,7697,Democratic,US Representative,4
Morrow,Mike Carroll,3537,Democratic,US Representative,4
Richland,Mike Carroll,12498,Democratic,US Representative,4
Shelby,Mike Carroll,4975,Democratic,US Representative,4
Wyandot,Mike Carroll,1073,Democratic,US Representative,4
Ashland,George F. Mays,994,Democratic,US Representative,5
Crawford,George F. Mays,4048,Democratic,US Representative,5
Defiance,George F. Mays,3889,Democratic,US Representative,5
Fulton,George F. Mays,3962,Democratic,US Representative,5
Henry,George F. Mays,2696,Democratic,US Representative,5
Huron,George F. Mays,5231,Democratic,US Representative,5
Lucas,George F. Mays,2136,Democratic,US Representative,5
Mercer,George F. Mays,825,Democratic,US Representative,5
Paulding,George F. Mays,1950,Democratic,US Representative,5
Putnam,George F. Mays,3298,Democratic,US Representative,5
Sandusky,George F. Mays,8182,Democratic,US Representative,5
Seneca,George F. Mays,6546,Democratic,US Representative,5
Van Wert,George F. Mays,2345,Democratic,US Representative,5
Williams,George F. Mays,3089,Democratic,US Representative,5
Wood,George F. Mays,14312,Democratic,US Representative,5
Wyandot,George F. Mays,947,Democratic,US Representative,5
Athens,Charlie Wilson,8134,Democratic,US Representative,6
Belmont,Charlie Wilson,14232,Democratic,US Representative,6
Columbiana,Charlie Wilson,17803,Democratic,US Representative,6
Gallia,Charlie Wilson,3072,Democratic,US Representative,6
Jefferson,Charlie Wilson,18121,Democratic,US Representative,6
Lawrence,Charlie Wilson,8439,Democratic,US Representative,6
Mahoning,Charlie Wilson,22441,Democratic,US Representative,6
Meigs,Charlie Wilson,2799,Democratic,US Representative,6
Monroe,Charlie Wilson,3927,Democratic,US Representative,6
Noble,Charlie Wilson,1870,Democratic,US Representative,6
Scioto,Charlie Wilson,4782,Democratic,US Representative,6
Washington,Charlie Wilson,8789,Democratic,US Representative,6
Clark,Bill Conner,8005,Democratic,US Representative,7
Fairfield,Bill Conner,5544,Democratic,US Representative,7
Fayette,Bill Conner,931,Democratic,US Representative,7
Franklin,Bill Conner,5072,Democratic,US Representative,7
Greene,Bill Conner,5009,Democratic,US Representative,7
Perry,Bill Conner,1841,Democratic,US Representative,7
Pickaway,Bill Conner,2953,Democratic,US Representative,7
Ross,Bill Conner,674,Democratic,US Representative,7
Clark,Sharen Swartz Neuhardt,9500,Democratic,US Representative,7
Fairfield,Sharen Swartz Neuhardt,6090,Democratic,US Representative,7
Fayette,Sharen Swartz Neuhardt,823,Democratic,US Representative,7
Franklin,Sharen Swartz Neuhardt,4014,Democratic,US Representative,7
Greene,Sharen Swartz Neuhardt,8817,Democratic,US Representative,7
Perry,Sharen Swartz Neuhardt,1558,Democratic,US Representative,7
Pickaway,Sharen Swartz Neuhardt,1649,Democratic,US Representative,7
Ross,Sharen Swartz Neuhardt,375,Democratic,US Representative,7
Clark,Jack D. Null,1583,Democratic,US Representative,7
Fairfield,Jack D. Null,1230,Democratic,US Representative,7
Fayette,Jack D. Null,255,Democratic,US Representative,7
Franklin,Jack D. Null,818,Democratic,US Representative,7
Greene,Jack D. Null,1242,Democratic,US Representative,7
Perry,Jack D. Null,473,Democratic,US Representative,7
Pickaway,Jack D. Null,388,Democratic,US Representative,7
Ross,Jack D. Null,129,Democratic,US Representative,7
Clark,Thomas L. Scrivens,903,Democratic,US Representative,7
Fairfield,Thomas L. Scrivens,854,Democratic,US Representative,7
Fayette,Thomas L. Scrivens,150,Democratic,US Representative,7
Franklin,Thomas L. Scrivens,928,Democratic,US Representative,7
Greene,Thomas L. Scrivens,1629,Democratic,US Representative,7
Perry,Thomas L. Scrivens,234,Democratic,US Representative,7
Pickaway,Thomas L. Scrivens,270,Democratic,US Representative,7
Ross,Thomas L. Scrivens,56,Democratic,US Representative,7
Clark,Dave Woolever,1060,Democratic,US Representative,7
Fairfield,Dave Woolever,2473,Democratic,US Representative,7
Fayette,Dave Woolever,510,Democratic,US Representative,7
Franklin,Dave Woolever,880,Democratic,US Representative,7
Greene,Dave Woolever,2059,Democratic,US Representative,7
Perry,Dave Woolever,379,Democratic,US Representative,7
Pickaway,Dave Woolever,1783,Democratic,US Representative,7
Ross,Dave Woolever,99,Democratic,US Representative,7
Clark,Richard J. Wyderski,1019,Democratic,US Representative,7
Fairfield,Richard J. Wyderski,1204,Democratic,US Representative,7
Fayette,Richard J. Wyderski,121,Democratic,US Representative,7
Franklin,Richard J. Wyderski,755,Democratic,US Representative,7
Greene,Richard J. Wyderski,1379,Democratic,US Representative,7
Perry,Richard J. Wyderski,458,Democratic,US Representative,7
Pickaway,Richard J. Wyderski,265,Democratic,US Representative,7
Ross,Richard J. Wyderski,35,Democratic,US Representative,7
Butler,Nicholas A. Von Stein,25202,Democratic,US Representative,8
Darke,Nicholas A. Von Stein,4242,Democratic,US Representative,8
Mercer,Nicholas A. Von Stein,2268,Democratic,US Representative,8
Miami,Nicholas A. Von Stein,9665,Democratic,US Representative,8
Montgomery,Nicholas A. Von Stein,6943,Democratic,US Representative,8
Preble,Nicholas A. Von Stein,4282,Democratic,US Representative,8
Erie,Marcy Kaptur,14326,Democratic,US Representative,9
Lorain,Marcy Kaptur,12393,Democratic,US Representative,9
Lucas,Marcy Kaptur,83681,Democratic,US Representative,9
Ottawa,Marcy Kaptur,8414,Democratic,US Representative,9
Cuyahoga,Joe Cimperman,50760,Democratic,US Representative,10
Cuyahoga,Barbara Anne Ferris,9362,Democratic,US Representative,10
Cuyahoga,Dennis J. Kucinich,72646,Democratic,US Representative,10
Cuyahoga,Thomas E O'Grady,7264,Democratic,US Representative,10
Cuyahoga,Rosemary A. Palmer,4339,Democratic,US Representative,10
Cuyahoga,Stephanie Tubbs Jones,131857,Democratic,US Representative,11
Delaware,Aaron J. Dagres,2627,Democratic,US Representative,12
Franklin,Aaron J. Dagres,9508,Democratic,US Representative,12
Licking,Aaron J. Dagres,1733,Democratic,US Representative,12
Delaware,Russ Goodwin,5991,Democratic,US Representative,12
Franklin,Russ Goodwin,22719,Democratic,US Representative,12
Licking,Russ Goodwin,4126,Democratic,US Representative,12
Delaware,David Robinson,9069,Democratic,US Representative,12
Franklin,David Robinson,33363,Democratic,US Representative,12
Licking,David Robinson,6441,Democratic,US Representative,12
Cuyahoga,Betty Sutton,13139,Democratic,US Representative,13
Lorain,Betty Sutton,35921,Democratic,US Representative,13
Medina,Betty Sutton,7730,Democratic,US Representative,13
Summit,Betty Sutton,49012,Democratic,US Representative,13
Ashtabula,Dale Virgil Blanchard,2462,Democratic,US Representative,14
Cuyahoga,Dale Virgil Blanchard,1482,Democratic,US Representative,14
Geauga,Dale Virgil Blanchard,1736,Democratic,US Representative,14
Lake,Dale Virgil Blanchard,6119,Democratic,US Representative,14
Portage,Dale Virgil Blanchard,830,Democratic,US Representative,14
Summit,Dale Virgil Blanchard,3375,Democratic,US Representative,14
Trumbull,Dale Virgil Blanchard,335,Democratic,US Representative,14
Ashtabula,"John H. Greene, Jr.",3848,Democratic,US Representative,14
Cuyahoga,"John H. Greene, Jr.",1306,Democratic,US Representative,14
Geauga,"John H. Greene, Jr.",2298,Democratic,US Representative,14
Lake,"John H. Greene, Jr.",7075,Democratic,US Representative,14
Portage,"John H. Greene, Jr.",1007,Democratic,US Representative,14
Summit,"John H. Greene, Jr.",5273,Democratic,US Representative,14
Trumbull,"John H. Greene, Jr.",545,Democratic,US Representative,14
Ashtabula,Bill O'Neill,9803,Democratic,US Representative,14
Cuyahoga,Bill O'Neill,4696,Democratic,US Representative,14
Geauga,Bill O'Neill,9328,Democratic,US Representative,14
Lake,Bill O'Neill,22250,Democratic,US Representative,14
Portage,Bill O'Neill,2752,Democratic,US Representative,14
Summit,Bill O'Neill,12635,Democratic,US Representative,14
Trumbull,Bill O'Neill,799,Democratic,US Representative,14
Franklin,Mary Jo Kilroy,77314,Democratic,US Representative,15
Madison,Mary Jo Kilroy,3798,Democratic,US Representative,15
Union,Mary Jo Kilroy,4728,Democratic,US Representative,15
Ashland,John A. Boccieri,2795,Democratic,US Representative,16
Medina,John A. Boccieri,10865,Democratic,US Representative,16
Stark,John A. Boccieri,47804,Democratic,US Representative,16
Wayne,John A. Boccieri,9574,Democratic,US Representative,16
Ashland,Mary M. Cirelli,1257,Democratic,US Representative,16
Medina,Mary M. Cirelli,6054,Democratic,US Representative,16
Stark,Mary M. Cirelli,28546,Democratic,US Representative,16
Wayne,Mary M. Cirelli,4572,Democratic,US Representative,16
Mahoning,Tim Ryan,37578,Democratic,US Representative,17
Portage,Tim Ryan,21840,Democratic,US Representative,17
Summit,Tim Ryan,22229,Democratic,US Representative,17
Trumbull,Tim Ryan,56963,Democratic,US Representative,17
Athens,Mark Pitrone,739,Democratic,US Representative,18
Belmont,Mark Pitrone,953,Democratic,US Representative,18
Carroll,Mark Pitrone,1081,Democratic,US Representative,18
Coshocton,Mark Pitrone,754,Democratic,US Representative,18
Guernsey,Mark Pitrone,852,Democratic,US Representative,18
Harrison,Mark Pitrone,553,Democratic,US Representative,18
Hocking,Mark Pitrone,866,Democratic,US Representative,18
Holmes,Mark Pitrone,523,Democratic,US Representative,18
Jackson,Mark Pitrone,897,Democratic,US Representative,18
Knox,Mark Pitrone,1217,Democratic,US Representative,18
Licking,Mark Pitrone,1864,Democratic,US Representative,18
Morgan,Mark Pitrone,304,Democratic,US Representative,18
Muskingum,Mark Pitrone,1687,Democratic,US Representative,18
Ross,Mark Pitrone,1587,Democratic,US Representative,18
Tuscarawas,Mark Pitrone,1674,Democratic,US Representative,18
Vinton,Mark Pitrone,429,Democratic,US Representative,18
Athens,Zack Space,3227,Democratic,US Representative,18
Belmont,Zack Space,2969,Democratic,US Representative,18
Carroll,Zack Space,3986,Democratic,US Representative,18
Coshocton,Zack Space,5122,Democratic,US Representative,18
Guernsey,Zack Space,5331,Democratic,US Representative,18
Harrison,Zack Space,3296,Democratic,US Representative,18
Hocking,Zack Space,4050,Democratic,US Representative,18
Holmes,Zack Space,1685,Democratic,US Representative,18
Jackson,Zack Space,3189,Democratic,US Representative,18
Knox,Zack Space,6390,Democratic,US Representative,18
Licking,Zack Space,6614,Democratic,US Representative,18
Morgan,Zack Space,1720,Democratic,US Representative,18
Muskingum,Zack Space,11229,Democratic,US Representative,18
Ross,Zack Space,9130,Democratic,US Representative,18
Tuscarawas,Zack Space,17766,Democratic,US Representative,18
Vinton,Zack Space,1799,Democratic,US Representative,18
Butler,Steve Chabot,3417,Republican,US Representative,1
Hamilton,Steve Chabot,42991,Republican,US Representative,1
Adams,Nathan W. Bailey,91,Republican,US Representative,2
Brown,Nathan W. Bailey,119,Republican,US Representative,2
Clermont,Nathan W. Bailey,718,Republican,US Representative,2
Hamilton,Nathan W. Bailey,639,Republican,US Representative,2
Pike,Nathan W. Bailey,125,Republican,US Representative,2
Scioto,Nathan W. Bailey,107,Republican,US Representative,2
Warren,Nathan W. Bailey,327,Republican,US Representative,2
Adams,Tom Brinkman,1084,Republican,US Representative,2
Brown,Tom Brinkman,1587,Republican,US Representative,2
Clermont,Tom Brinkman,7845,Republican,US Representative,2
Hamilton,Tom Brinkman,12054,Republican,US Representative,2
Pike,Tom Brinkman,590,Republican,US Representative,2
Scioto,Tom Brinkman,1046,Republican,US Representative,2
Warren,Tom Brinkman,4691,Republican,US Representative,2
Adams,Jean Schmidt,1858,Republican,US Representative,2
Brown,Jean Schmidt,2529,Republican,US Representative,2
Clermont,Jean Schmidt,14812,Republican,US Representative,2
Hamilton,Jean Schmidt,13822,Republican,US Representative,2
Pike,Jean Schmidt,1084,Republican,US Representative,2
Scioto,Jean Schmidt,1947,Republican,US Representative,2
Warren,Jean Schmidt,5935,Republican,US Representative,2
Clinton,Mike Turner,5251,Republican,US Representative,3
Highland,Mike Turner,4549,Republican,US Representative,3
Montgomery,Mike Turner,39455,Republican,US Representative,3
Warren,Mike Turner,12660,Republican,US Representative,3
Allen,Jim Jordan,12055,Republican,US Representative,4
Auglaize,Jim Jordan,4834,Republican,US Representative,4
Champaign,Jim Jordan,5803,Republican,US Representative,4
Hancock,Jim Jordan,9826,Republican,US Representative,4
Hardin,Jim Jordan,3540,Republican,US Representative,4
Logan,Jim Jordan,6249,Republican,US Representative,4
Marion,Jim Jordan,5292,Republican,US Representative,4
Morrow,Jim Jordan,3754,Republican,US Representative,4
Richland,Jim Jordan,9299,Republican,US Representative,4
Shelby,Jim Jordan,5001,Republican,US Representative,4
Wyandot,Jim Jordan,1118,Republican,US Representative,4
Ashland,Bob Latta,803,Republican,US Representative,5
Crawford,Bob Latta,3214,Republican,US Representative,5
Defiance,Bob Latta,3399,Republican,US Representative,5
Fulton,Bob Latta,3967,Republican,US Representative,5
Henry,Bob Latta,2595,Republican,US Representative,5
Huron,Bob Latta,3129,Republican,US Representative,5
Lucas,Bob Latta,1480,Republican,US Representative,5
Mercer,Bob Latta,787,Republican,US Representative,5
Paulding,Bob Latta,1762,Republican,US Representative,5
Putnam,Bob Latta,4667,Republican,US Representative,5
Sandusky,Bob Latta,5624,Republican,US Representative,5
Seneca,Bob Latta,5800,Republican,US Representative,5
Van Wert,Bob Latta,3188,Republican,US Representative,5
Williams,Bob Latta,3616,Republican,US Representative,5
Wood,Bob Latta,9025,Republican,US Representative,5
Wyandot,Bob Latta,1037,Republican,US Representative,5
Ashland,Scott B. Radcliffe,183,Republican,US Representative,5
Crawford,Scott B. Radcliffe,527,Republican,US Representative,5
Defiance,Scott B. Radcliffe,920,Republican,US Representative,5
Fulton,Scott B. Radcliffe,1082,Republican,US Representative,5
Henry,Scott B. Radcliffe,395,Republican,US Representative,5
Huron,Scott B. Radcliffe,445,Republican,US Representative,5
Lucas,Scott B. Radcliffe,356,Republican,US Representative,5
Mercer,Scott B. Radcliffe,163,Republican,US Representative,5
Paulding,Scott B. Radcliffe,369,Republican,US Representative,5
Putnam,Scott B. Radcliffe,585,Republican,US Representative,5
Sandusky,Scott B. Radcliffe,1070,Republican,US Representative,5
Seneca,Scott B. Radcliffe,1355,Republican,US Representative,5
Van Wert,Scott B. Radcliffe,839,Republican,US Representative,5
Williams,Scott B. Radcliffe,878,Republican,US Representative,5
Wood,Scott B. Radcliffe,2988,Republican,US Representative,5
Wyandot,Scott B. Radcliffe,192,Republican,US Representative,5
Ashland,Michael L. Reynolds,189,Republican,US Representative,5
Crawford,Michael L. Reynolds,641,Republican,US Representative,5
Defiance,Michael L. Reynolds,368,Republican,US Representative,5
Fulton,Michael L. Reynolds,380,Republican,US Representative,5
Henry,Michael L. Reynolds,168,Republican,US Representative,5
Huron,Michael L. Reynolds,513,Republican,US Representative,5
Lucas,Michael L. Reynolds,102,Republican,US Representative,5
Mercer,Michael L. Reynolds,132,Republican,US Representative,5
Paulding,Michael L. Reynolds,204,Republican,US Representative,5
Putnam,Michael L. Reynolds,417,Republican,US Representative,5
Sandusky,Michael L. Reynolds,567,Republican,US Representative,5
Seneca,Michael L. Reynolds,726,Republican,US Representative,5
Van Wert,Michael L. Reynolds,397,Republican,US Representative,5
Williams,Michael L. Reynolds,352,Republican,US Representative,5
Wood,Michael L. Reynolds,541,Republican,US Representative,5
Wyandot,Michael L. Reynolds,176,Republican,US Representative,5
Athens,Richard D. Stobbs,1938,Republican,US Representative,6
Belmont,Richard D. Stobbs,2111,Republican,US Representative,6
Columbiana,Richard D. Stobbs,7186,Republican,US Representative,6
Gallia,Richard D. Stobbs,2652,Republican,US Representative,6
Jefferson,Richard D. Stobbs,3408,Republican,US Representative,6
Lawrence,Richard D. Stobbs,4906,Republican,US Representative,6
Mahoning,Richard D. Stobbs,4491,Republican,US Representative,6
Meigs,Richard D. Stobbs,2523,Republican,US Representative,6
Monroe,Richard D. Stobbs,633,Republican,US Representative,6
Noble,Richard D. Stobbs,1316,Republican,US Representative,6
Scioto,Richard D. Stobbs,1804,Republican,US Representative,6
Washington,Richard D. Stobbs,5433,Republican,US Representative,6
Clark,Steve Austria,9751,Republican,US Representative,7
Fairfield,Steve Austria,9397,Republican,US Representative,7
Fayette,Steve Austria,1854,Republican,US Representative,7
Franklin,Steve Austria,2334,Republican,US Representative,7
Greene,Steve Austria,15939,Republican,US Representative,7
Perry,Steve Austria,1131,Republican,US Representative,7
Pickaway,Steve Austria,1785,Republican,US Representative,7
Ross,Steve Austria,308,Republican,US Representative,7
Clark,Dan Harkins,1635,Republican,US Representative,7
Fairfield,Dan Harkins,1373,Republican,US Representative,7
Fayette,Dan Harkins,100,Republican,US Representative,7
Franklin,Dan Harkins,477,Republican,US Representative,7
Greene,Dan Harkins,640,Republican,US Representative,7
Perry,Dan Harkins,195,Republican,US Representative,7
Pickaway,Dan Harkins,267,Republican,US Representative,7
Ross,Dan Harkins,130,Republican,US Representative,7
Clark,Ron Hood,3506,Republican,US Representative,7
Fairfield,Ron Hood,7699,Republican,US Representative,7
Fayette,Ron Hood,1598,Republican,US Representative,7
Franklin,Ron Hood,2486,Republican,US Representative,7
Greene,Ron Hood,5778,Republican,US Representative,7
Perry,Ron Hood,1948,Republican,US Representative,7
Pickaway,Ron Hood,2633,Republican,US Representative,7
Ross,Ron Hood,336,Republican,US Representative,7
Clark,John Mitchel,484,Republican,US Representative,7
Fairfield,John Mitchel,1194,Republican,US Representative,7
Fayette,John Mitchel,162,Republican,US Representative,7
Franklin,John Mitchel,592,Republican,US Representative,7
Greene,John Mitchel,972,Republican,US Representative,7
Perry,John Mitchel,192,Republican,US Representative,7
Pickaway,John Mitchel,330,Republican,US Representative,7
Ross,John Mitchel,104,Republican,US Representative,7
Butler,John A. Boehner,30394,Republican,US Representative,8
Darke,John A. Boehner,6213,Republican,US Representative,8
Mercer,John A. Boehner,3241,Republican,US Representative,8
Miami,John A. Boehner,14270,Republican,US Representative,8
Montgomery,John A. Boehner,5441,Republican,US Representative,8
Preble,John A. Boehner,5712,Republican,US Representative,8
Erie,Ed Emery,2182,Republican,US Representative,9
Lorain,Ed Emery,1770,Republican,US Representative,9
Lucas,Ed Emery,6341,Republican,US Representative,9
Ottawa,Ed Emery,1400,Republican,US Representative,9
Erie,Bradley S. Leavitt,2329,Republican,US Representative,9
Lorain,Bradley S. Leavitt,2091,Republican,US Representative,9
Lucas,Bradley S. Leavitt,8801,Republican,US Representative,9
Ottawa,Bradley S. Leavitt,1482,Republican,US Representative,9
Cuyahoga,Jim Trakas,22401,Republican,US Representative,10
Cuyahoga,Jason Werner,5844,Republican,US Representative,10
